iter	Passed	Remaining
0	60	12048
1	63	6267
2	65	4293
3	67	3313
4	69	2711
5	71	2311
6	73	2015
7	74	1799
8	76	1621
9	78	1486
10	80	1376
11	81	1284
12	83	1204
13	85	1135
14	87	1074
15	88	1021
16	90	975
17	92	934
18	93	895
19	95	862
20	97	832
21	99	801
22	100	776
23	102	750
24	104	728
25	106	709
26	107	691
27	109	673
28	111	656
29	113	641
30	115	627
31	116	613
32	118	600
33	120	587
34	122	575
35	123	564
36	125	553
37	127	543
38	128	532
39	130	522
40	132	514
41	134	504
42	136	496
43	137	488
44	139	479
45	141	472
46	142	464
47	144	456
48	146	450
49	147	443
50	149	437
51	151	431
52	153	425
53	154	418
54	156	413
55	158	407
56	160	402
57	161	396
58	163	391
59	165	386
60	167	381
61	168	375
62	170	371
63	172	366
64	174	362
65	176	357
66	178	353
67	179	349
68	181	345
69	183	340
70	185	336
71	186	332
72	188	328
73	190	324
74	192	320
75	194	316
76	195	312
77	197	308
78	199	305
79	200	300
80	202	297
81	204	294
82	206	290
83	207	287
84	209	283
85	211	280
86	213	277
87	215	274
88	217	270
89	218	267
90	220	264
91	222	261
92	224	257
93	226	255
94	228	252
95	230	249
96	232	246
97	233	243
98	235	240
99	237	237
100	239	234
101	241	231
102	243	229
103	245	226
104	247	223
105	249	220
106	251	218
107	253	215
108	254	212
109	256	210
110	258	207
111	260	205
112	263	202
113	264	199
114	267	197
115	269	194
116	271	192
117	272	189
118	274	187
119	276	184
120	278	181
121	280	179
122	282	176
123	284	174
124	286	171
125	287	169
126	289	166
127	291	164
128	293	161
129	295	159
130	297	156
131	299	154
132	301	151
133	303	149
134	304	146
135	306	144
136	308	141
137	310	139
138	311	136
139	313	134
140	315	131
141	317	129
142	319	127
143	321	124
144	322	122
145	324	120
146	326	117
147	328	115
148	330	113
149	332	110
150	334	108
151	335	106
152	337	103
153	339	101
154	341	99
155	343	96
156	345	94
157	347	92
158	348	89
159	350	87
160	351	85
161	353	83
162	355	80
163	357	78
164	358	76
165	360	73
166	362	71
167	364	69
168	366	67
169	367	64
170	369	62
171	371	60
172	373	58
173	374	56
174	376	53
175	378	51
176	380	49
177	382	47
178	384	45
179	386	42
180	387	40
181	389	38
182	391	36
183	392	34
184	394	31
185	396	29
186	397	27
187	399	25
188	401	23
189	403	21
190	405	19
191	406	16
192	408	14
193	410	12
194	412	10
195	414	8
196	416	6
197	417	4
198	419	2
199	421	0
